blur_sigma_output_px,visibility_m,peak_electrons,jpeg_quality,calibration_score,luminance_mean_score,contrast_score,saturation_score,gradient_ratio_score,blockiness_score
0.35,8000.0,8000.0,85.0,17.121570011686853,0.0923700065706648,5.433470918186851,0.8219215198843495,7.069959227632283,3.703848339412704
0.35,15000.0,,85.0,17.12356746702436,0.07174288197160786,5.393593003766121,0.7168144854697901,7.141889284037214,3.799527811779625
0.7,8000.0,8000.0,95.0,17.163878241628435,0.09130533887615014,6.065307731755315,0.8333422802535743,9.881844682425978,0.29207820831741754
0.7,,,95.0,17.315147485123216,0.046958316470909096,5.911866975852525,0.7007220815218461,10.142235183390238,0.5133649278876967
0.35,8000.0,,85.0,17.392078146509586,0.09217554767786638,5.455666648549943,0.8193116103889259,7.152989381184236,3.8719349587086134
0.0,,8000.0,75.0,17.483002196291725,0.04825620425566372,4.900320052650067,0.6910695167361902,5.698581613765487,6.144774808884319
0.7,15000.0,,95.0,17.553033494269553,0.07048562926022742,6.050525768206297,0.7194132432880582,10.107926960761201,0.6046818927537667
0.7,8000.0,,95.0,17.764255535528342,0.09105722737421704,6.09415054324348,0.8205257169185538,10.106494688624245,0.6520273593678472
0.0,,,75.0,17.855537971406303,0.04862763376213319,4.915062156074667,0.6890961953513604,5.769744711669581,6.433007274548562
0.7,,8000.0,,18.051338667455003,0.04718235530682549,5.885905873676355,0.23969446573207215,9.679484223724224,2.1990717490155274
0.0,15000.0,8000.0,75.0,18.07411227586834,0.07198561899079711,5.019274278387536,0.7778022071145865,5.740608120247135,6.464442051128287
0.0,8000.0,8000.0,75.0,18.35765268196419,0.0924155993000498,5.081441960558789,0.8379427682916698,5.763315629554357,6.582536724259322
0.0,15000.0,,75.0,18.42465007782822,0.07158580469042655,5.046848532598136,0.7230637785852434,5.7803768021356685,6.802775159818745
0.7,15000.0,8000.0,,18.64714909958432,0.07109228552722693,6.014826294154456,0.7312876525494385,9.608095669738567,2.221847197614629
0.0,8000.0,,75.0,18.697022721911466,0.092302392110339,5.114333384668602,0.8261656797251666,5.801867290282699,6.862353975124661
0.7,8000.0,8000.0,,18.80034027907704,0.0917943098326077,6.060417018842893,0.8317299329031027,9.58820125932007,2.2281977581783696
0.7,,,,19.089600389308696,0.047123615936054734,5.9309488249635915,0.6869064630349844,10.202826008709263,2.2217954766648007
0.7,15000.0,,,19.260238454034365,0.07108063651109445,6.057822750284207,0.7531524214903579,10.156251671917959,2.2219309738307436
0.7,8000.0,,,19.424998452566474,0.09177499563106564,6.101365420108754,0.8435101576181553,10.170526689644277,2.2178211895642215
0.35,,8000.0,75.0,19.754619266711785,0.04754169683803651,5.281650254729941,0.6928990924186278,7.359297107505245,6.373231115219934
0.35,,,75.0,20.092153052232923,0.04781171940894589,5.29154082620755,0.6924594644459175,7.437562387236325,6.622778654934185
0.35,15000.0,8000.0,75.0,20.363103995733887,0.07121318741220448,5.383167242421745,0.7764986202614547,7.385827035929656,6.746397909708827
0.35,8000.0,8000.0,75.0,20.496565583349003,0.09168065630630665,5.445271499218489,0.8390395862018806,7.40099733720603,6.719576504416301
